fichier,dossier,cle,nom_pdf,statut,id_1,cand_1,id_2,cand_2,id_3,cand_3,id_retenu
2026 Minigao catalog(With price and Wechat).pdf,All Catalogues 220926,Minigao,,aucun,,,,,,,
2026 MINIONS TIRE.pdf,All Catalogues 220926,MINIONS TIRE,,aucun,,,,,,,
2025 MOAOZ CATALOG.pdf,All Catalogues 220926,MOAOZ,,aucun,,,,,,,
MTB BICYCLE PRICE YOYO.pdf,All Catalogues 220926,MTB BICYCLE PRICE YOYO,,aucun,,,,,,,
NANPU.pdf,Catalogues/2026 Motor catalog,NANPU,NANPU Corp | NANPU Driving a Greener Future About NANPU Corp. | 关于南普公司 | 的方案技术解决,à valider,official_768,"M &amp; S E-DRIVING SYSTEM CO., LTD. [M&S] E7 E7-0901 · 0.80 token:driving ← NANPU Driving a Greener F",,,,,
2026 NAVIGATE CATALOG 2.xlsx,All Catalogues 220926,NAVIGATE,,aucun,,,,,,,
2026 NAYUE CATALOG.pdf,All Catalogues 220926,NAYUE,,aucun,,,,,,,
2026 NEUTRON COMPONENTS.pdf,All Catalogues 220926,NEUTRON COMPONENTS,,aucun,,,,,,,
Newest ALOVA Open-Ear Products Catalog-Jolin.pdf,Suppliers Catalogues,Newest ALOVA Open Ear     Jolin,"ALEX TECH CATALOGUE Shenzhen Alex Technology Co.,Ltd",aucun,,,,,,,
2026 NEXGA CATALOG.pdf,All Catalogues 220926,NEXGA,,aucun,,,,,,,
2026 OBAOLAY CATALOG CYCLING GLASSES.pdf,All Catalogues 220926,OBAOLAY   CYCLING GLASSES,,à valider,official_1088,"GUANGZHOU BAOLAY GLASSES TECHNOLOGY CO., LTD. [BAOLAY GLASSES] N1 N1-1817 · 0.75 fuzzy0.97 ← OBAOLAY   CYCLING GLASSES",,,,,
SKI Offline catalog 25:26.pdf,Suppliers Catalogues,SKI Offline,,aucun,,,,,,,
2026 ONIRII CATALOG.pdf,All Catalogues 220926,ONIRII,,aucun,,,,,,,
2026 ORYLEAP CATALOG EN.pdf,All Catalogues 220926,ORYLEAP,宁波奥跃新能源科技有限公司,aucun,,,,,,,
2026 OsmaR  CATALOG-Magnetic snap CN.pdf,All Catalogues 220926/2026 OsmaR  CATALOG,OsmaR    Magnetic snap,,à valider,official_367,"HEBEI ZHENGTONG TIRE MANUFACTURING CO., LTD. [GOOD PUMP OSMAR] E4 E4-0105 · 0.80 token:osmar ← OsmaR    Magnetic snap",official_1401,"HANGZHOU LAMEDA SPORTS CO., LTD. [GOOD OSMAR PUMP] W4 W4-0105 · 0.80 token:osmar ← OsmaR    Magnetic snap",,,
2026 OUTDO SPORTS EYEWEAR-SUN CATALOG.pdf,All Catalogues 220926,OUTDO SPORTS EYEWEAR SUN,,à valider,official_874,"XIAMEN JIADESHENG EYEWEAR CO., LTD. [JIADESHENG EYEWEAR] N1 N1-0030 · 0.80 token:eyewear ← OUTDO SPORTS EYEWEAR SUN",,,,,
2026 PAISON CATALOG EN.pdf,All Catalogues 220926,PAISON,,aucun,,,,,,,
